Product_Id, NC 
103738,34.21638
103741,20.36672
103797,16.4
103849,7
103879,0.01
103883,7.27
103886,43.5
103912,72.284056
103929,0.152095
103943,0.01
103964,46.3716
104003,237.614
104004,281.68
104015,1.16
104034,50.7276
104042,58.1922
104054,57.5784
104059,17.66
104060,0.01
104061,75
104063,2.24
104079,11.86
104157,59.1327
104161,57.19
104162,35.47
104164,141.65
104197,62.5482
104245,64.1124
104276,66.9141
104345,71.2701
104364,71.8938
104382,75.0024
104404,98.0298
104418,5.46
104419,5.46
104421,5.46
104423,6.21
104424,6.21
104425,0.01
104426,8.09
104427,9.72
104428,11.44
104429,13
104430,3.3
104516,105.1875
104540,106.4349
104542,108.9198
104557,19.77
104560,0.008441
104561,0.008441
104563,211.345758
104564,127.020168
104565,156.597432
104566,0.008441
104567,0.008441
104568,289.990555
104569,278.392621
104570,226.193477
104575,34.868
104579,90.5363
104591,112.22
104593,112.3452
104599,115.7706
104685,48.01
104698,12.518003
104699,78.36
104707,78.16
104724,56.816371
104781,116.4
104782,321.38
104783,138.85
104784,54.26
104832,135.67
104833,0.01
104850,63.48
104854,65.3499
104859,57.5784
104878,3.13
104879,2.69
104880,3.13
104881,3.85
104893,57.5784
104897,25.728
104903,11.776635
104910,0.0099
104913,28.66
104930,58.509
104959,61.3107
104990,2.25
104991,1.94
105124,62.865
105161,0.008333
105232,21.30273
105233,0.00921
105234,6.66228
105235,6.52068
105236,11.1979
105238,0.00941
105239,20.54203
105240,0.00921
105241,14.26556
105242,33.96648
105244,19.35942
105245,2.55952
105246,1.01628
105247,9.41262
105248,10.78491
105249,10.131
105250,11.46645
105251,4.62031
105252,0.00941
105253,0.00941
105254,9.0258
105255,32.52972
105256,23.36577
105261,65.3499
105264,67.221
105278,0.85
105282,11.52787
105286,348.94
105294,51.75
105304,67.221
105330,90.685
105334,109.312
105336,100.1175
105339,159.25
105341,40.86425
105365,78.73
105366,70.8642
105367,59.05
105378,3.8
105380,50.996
105468,177.5
105469,450
105470,18
105472,127.5
105474,142.5
105475,96.5
105479,132.5
105489,295
105492,15.75
105495,27.75
105504,89
105506,22.23994
105510,0.01
105515,322.5
105516,0.01
105520,21.5
105530,3.5
105713,20.8494
105748,9.2268
105766,8.2
105773,255.21
105860,22.9
105862,0.01
105870,9.73497
105871,10.48274
105872,41.41341
105873,26.00924
105874,24.08019
105936,49.002576
105937,99.8228
105968,2.24
106023,92.157093
106024,90.16144
106025,108.44763
106027,133.290465
106028,140.719923
